species,population,temperature,dish,times,germinated,germinable
Centaurium somedanum,Malconcecho,10.1,A47,4,0,23
Centaurium somedanum,Malconcecho,10.1,A47,5,0,23
Centaurium somedanum,Malconcecho,10.1,A47,6,0,23
Centaurium somedanum,Malconcecho,10.1,A47,7,0,23
Centaurium somedanum,Malconcecho,10.1,A47,8,0,23
Centaurium somedanum,Malconcecho,10.1,A47,9,0,23
Centaurium somedanum,Malconcecho,10.1,A47,10,0,23
Centaurium somedanum,Malconcecho,10.1,A47,11,0,23
Centaurium somedanum,Malconcecho,10.1,A47,12,0,23
Centaurium somedanum,Malconcecho,10.1,A47,13,0,23
Centaurium somedanum,Malconcecho,10.1,A47,14,5,23
Centaurium somedanum,Malconcecho,10.1,A47,15,8,23
Centaurium somedanum,Malconcecho,10.1,A47,16,0,23
Centaurium somedanum,Malconcecho,10.1,A47,17,6,23
Centaurium somedanum,Malconcecho,10.1,A47,18,0,23
Centaurium somedanum,Malconcecho,10.1,A47,19,0,23
Centaurium somedanum,Malconcecho,10.1,A47,20,0,23
Centaurium somedanum,Malconcecho,10.1,A47,21,0,23
Centaurium somedanum,Malconcecho,10.1,A47,22,0,23
Centaurium somedanum,Malconcecho,10.1,A47,23,0,23
Centaurium somedanum,Malconcecho,10.1,A47,24,0,23
Centaurium somedanum,Malconcecho,10.1,A47,25,0,23
Centaurium somedanum,Malconcecho,10.1,A47,26,0,23
Centaurium somedanum,Malconcecho,10.1,A47,27,0,23
Centaurium somedanum,Malconcecho,10.1,A47,28,0,23
Centaurium somedanum,Malconcecho,8.7,A48,1,0,25
Centaurium somedanum,Malconcecho,8.7,A48,2,0,25
Centaurium somedanum,Malconcecho,8.7,A48,3,0,25
Centaurium somedanum,Malconcecho,8.7,A48,4,0,25
Centaurium somedanum,Malconcecho,8.7,A48,5,0,25
Centaurium somedanum,Malconcecho,8.7,A48,6,0,25
Centaurium somedanum,Malconcecho,8.7,A48,7,0,25
Centaurium somedanum,Malconcecho,8.7,A48,8,0,25
Centaurium somedanum,Malconcecho,8.7,A48,9,0,25
Centaurium somedanum,Malconcecho,8.7,A48,10,0,25
Centaurium somedanum,Malconcecho,8.7,A48,11,0,25
Centaurium somedanum,Malconcecho,8.7,A48,12,0,25
Centaurium somedanum,Malconcecho,8.7,A48,13,0,25
Centaurium somedanum,Malconcecho,8.7,A48,14,0,25
Centaurium somedanum,Malconcecho,8.7,A48,15,0,25
Centaurium somedanum,Malconcecho,8.7,A48,16,0,25
Centaurium somedanum,Malconcecho,8.7,A48,17,0,25
Centaurium somedanum,Malconcecho,8.7,A48,18,0,25
Centaurium somedanum,Malconcecho,8.7,A48,19,0,25
Centaurium somedanum,Malconcecho,8.7,A48,20,13,25
Centaurium somedanum,Malconcecho,8.7,A48,21,4,25
Centaurium somedanum,Malconcecho,8.7,A48,22,0,25
Centaurium somedanum,Malconcecho,8.7,A48,23,0,25
Centaurium somedanum,Malconcecho,8.7,A48,24,6,25
Centaurium somedanum,Malconcecho,8.7,A48,25,0,25
Centaurium somedanum,Malconcecho,8.7,A48,26,0,25
Centaurium somedanum,Malconcecho,8.7,A48,27,0,25
Centaurium somedanum,Malconcecho,8.7,A48,28,0,25
Centaurium somedanum,Malconcecho,7.3,A49,1,0,24
Centaurium somedanum,Malconcecho,7.3,A49,2,0,24
Centaurium somedanum,Malconcecho,7.3,A49,3,0,24
